title,views,likes,comments,channel_id,channel_title,subscriber_count,video_count
Maggie Cai - Group Product Manager at Walmart | The Data Dialogues,1017,12,0,UCUZ93FLh1vjDRYe82RhtGXA,Brandeis Data Analytics Club,8,2
Kevin Wright - Sr. Delivery Principal at Slalom | The Data Dialogues,101,2,0,UCUZ93FLh1vjDRYe82RhtGXA,Brandeis Data Analytics Club,8,2
We Are Fluid Data Analytics!,75,0,0,UCsy94K7vSoYj3Rinf6_SP0g,Fluid Data Analytics,0,3
Business Intelligence (BI) with Fluid Data Analytics - Why BI?,19,1,0,UCsy94K7vSoYj3Rinf6_SP0g,Fluid Data Analytics,0,3
Fluid Data Analytics Intro,14,0,0,UCsy94K7vSoYj3Rinf6_SP0g,Fluid Data Analytics,0,3
I Had No Idea What Data Analytics Was! (Colaberry Student Success Stories),56009,126,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
AWS DeepRacer Guide for Basic Model Building and Simulation,5199,54,2,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Colaberry School Of Data Analytics : Go. Unleash Your Career in 2015,4582,10,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
My two minute pitch to Corporate America with Ali Muwwakkil | Colaberry,3181,128,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Student Success Stories - Colaberry School of Data Science & Data Analytics,2789,21,1,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
AWS DeepRacer Reward Graph Explained - Colaberry AWS DeepRacer Workshop,2595,23,1,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Reward Function - Colaberry AWS DeepRacer Workshop,2398,24,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Team 1: Yearup-Colaberry Data Analytics (Silicon Valley Fall 2016 Cohort) - Tableau Capstone Demo,1719,7,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Change Your Career. Change Your Life - Colaberry School of Data Analytics,1420,13,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Success and Life After Colaberry (Colaberry Student Success Stories),1233,76,4,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
MIT Solve Work of The Future Global Challenge 2018 | Colaberry - Refactored AI,1117,17,1,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
United Nations (UNITAR): Future Ready Skills - By Ram Katamaraja CEO of Colaberry / Refactored AI,1077,27,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Colaberry Data Analytics Live Virtual Open House Event 1/7/2021,1069,17,0,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Student Success Stories - Colaberry School of Data Science & Data Analytics,1029,18,1,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
Colaberry Interns - Career Accelerator Projects - August 2020,954,54,18,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
I work two six-figure jobs! | Colaberry Student Success Stories,864,31,5,UCb23caPCK7xW8roOkr_iKRA,Colaberry School Of Data Analytics,967,487
